あかいはあと,赤井はあと
あきろーぜんたーる,アキ・ローゼンタール
あずき,AZKi
あまねかなた,天音かなた
いぬがみころね,戌神ころね
うさだぺこら,兎田ぺこら
うるはるしあ,潤羽るしあ
おおかみみお,大神ミオ
おおぞらすばる,大空スバル
おまるぽるか,尾丸ポルカ
かざまいろは,風真いろは
あまねかなた,天音かなた
さかまたくろえ,沙花叉クロヱ
さくらみこ,さくらみこ
ししろぼたん,獅白ぼたん
しらかみふぶき,白上フブキ
しらぬいふれあ,不知火フレア
しろがねのえる,白銀ノエル
たかねるい,鷹嶺ルイ
つのまきわため,角巻わため
ときのそら,ときのそら
とこやみとわ,常闇トワ
なきりあやめ,百鬼あやめ
なついろまつり,夏色まつり
ねこまたおかゆ,猫又おかゆ
はくいこより,博衣こより
ひめもりるーな,姫森ルーナ
ほうしょうまりん,宝鐘マリン
ほしまちすいせい,星街すいせい
みなとあくあ,湊あくあ
むらさきしおん,紫咲シオン
ももすずねね,桃鈴ねね
ゆきはならみぃ,雪花ラミィ
ゆづきちょこ,癒月ちょこ
よぞらめる,夜空メル
らぷらすだーくねす,ラプラス・ダークネス
あゆんだりす,アユンダ・リス
むーなほしのヴぁ,ムーナ・ホシノヴァ
あいらにいおふぃふてぃーん,アイラニ・イオフィフティーン
くれいじーおりー,クレイジー・オリー
あーにゃめるふぃっさ,アーニャ・メルフィッサ
ぱヴぉりあれいね,パヴォリア・レイネ
もりかりおぺ,森カリオペ
たかなしきあら,小鳥遊キアラ
にのまえいなにす,一伊那尓栖
がうるぐら,がうる・ぐら
わとそんあめりあ,ワトソン・アメリア
あいりす,アイリス
つくもさな,九十九佐命
せれすふぁうな,セレス・ファウナ
おーろくろにー,オーロ・クロニー
ななしむめい,七詩ムメイ
はこすべーるず,ハコス・ベールズ
きりゅうここ,桐生ココ
はなさきみやび,花咲みやび
かなでいづる,奏手イヅル
あるらんでぃす,アルランディス
りっか,律可
あすてるれだ,アステル・レダ
きしどうてんま,岸堂天真
ゆうこくろべる,夕刻ロベル
かげやましえん,影山シエン
あらがみおうが,荒咬オウガ
かがみきら,鏡見キラ
