あかいはあと,赤井はあと
あきろーぜんたーる,アキ・ローゼンタール
あずき,AZKi
あまねかなた,天音かなた
いぬがみころね,戌神ころね
うさだぺこら,兎田ぺこら
うるはるしあ,潤羽るしあ
おおかみみお,大神ミオ
おおぞらすばる,大空スバル
おまるぽるか,尾丸ポルカ
かざまいろは,風真いろは
あまねかなた,天音かなた
きりゅうここ,桐生ココ
さかまたくろえ,沙花叉クロヱ
さくらみこ,さくらみこ
ししろぼたん,獅白ぼたん
しらかみふぶき,白上フブキ
しらぬいふれあ,不知火フレア
しろがねのえる,白銀ノエル
たかねるい,鷹嶺ルイ
つのまきわため,角巻わため
ときのそら,ときのそら
とこやみとわ,常闇トワ
なきりあやめ,百鬼あやめ
なついろまつり,夏色まつり
ねこまたおかゆ,猫又おかゆ
はくいこより,博衣こより
ひめもりるーな,姫森ルーナ
ほうしょうまりん,宝鐘マリン
ほしまちすいせい,星街すいせい
みなとあくあ,湊あくあ
むらさきしおん,紫咲シオン
ももすずねね,桃鈴ねね
ゆきはならみぃ,雪花ラミィ
ゆづきちょこ,癒月ちょこ
よぞらめる,夜空メル
らぷらすだーくねす,ラプラス・ダークネス
