Ç†,a,,,,
Ç¢,i,yi,,,
Ç§,u,wu,whu,,
Ç¶,e,,,,
Ç®,o,,,,
Ç§Çü,wha,uxa,,,
Ç§Ç°,whi,wi,uxi,,
Ç§Ç•,whe,we,uxe,,
Ç§Çß,who,uxo,,,
ÇÓ,wi,,,,
ÇÔ,we,,,,
Ç©,ka,ca,,,
Ç´,ki,,,,
Ç≠,ku,cu,qu,,
ÇØ,ke,,,,
Ç±,ko,co,,,
Ç´Ç·,kya,kixya,,,
Ç´Ç°,kyi,kixi,,,
Ç´Ç„,kyu,kixyu,,,
Ç´Ç•,kye,kixe,,,
Ç´ÇÂ,kyo,kixyo,,,
Ç≠Ç·,qya,kuxya,,,
Ç≠Ç„,qyu,kuxyu,,,
Ç≠ÇÂ,qyo,kuxyo,,,
Ç≠Çü,qwa,qa,kwa,kuxa,
Ç≠Ç°,qwi,qi,qyi,kuxi,
Ç≠Ç£,qwu,kuxu,,,
Ç≠Ç•,qwe,qe,qye,kuxe,
Ç≠Çß,qwo,qo,kuxo,,
Ç™,ga,,,,
Ç¨,gi,,,,
ÇÆ,gu,,,,
Ç∞,ge,,,,
Ç≤,go,,,,
Ç¨Ç·,gya,gixya,,,
Ç¨Ç°,gyi,gixi,,,
Ç¨Ç„,gyu,gixyu,,,
Ç¨Ç•,gye,gixe,,,
Ç¨ÇÂ,gyo,gixyo,,,
ÇÆÇü,gwa,guxa,,,
ÇÆÇ°,gwi,guxi,,,
ÇÆÇ£,gwu,guxu,,,
ÇÆÇ•,gwe,guxe,,,
ÇÆÇß,gwo,guxo,,,
Éï,lka,xka,,,
Éñ,lke,xke,,,
Ç≥,sa,,,,
Çµ,si,ci,shi,,
Ç∑,su,,,,
Çπ,se,ce,,,
Çª,so,,,,
ÇµÇ·,sya,sha,sixya,shixya,
ÇµÇ°,syi,sixi,shixi,,
ÇµÇ„,syu,shu,sixyu,shixyu,
ÇµÇ•,sye,she,sixe,shixe,
ÇµÇÂ,syo,sho,sixyo,shixyo,
Ç∑Çü,swa,suxa,,,
Ç∑Ç°,swi,suxi,,,
Ç∑Ç£,swu,suxu,,,
Ç∑Ç•,swe,suxe,,,
Ç∑Çß,swo,suxo,,,
Ç¥,za,,,,
Ç∂,ji,zi,,,
Ç∏,zu,,,,
Ç∫,ze,,,,
Çº,zo,,,,
Ç∂Ç·,ja,zya,jya,jixya,
Ç∂Ç°,zyi,jyi,jixi,,
Ç∂Ç„,ju,zyu,jyu,jixyu,
Ç∂Ç•,je,zye,jye,jixe,
Ç∂ÇÂ,jo,zyo,jyo,jixyo,
ÇΩ,ta,,,,
Çø,ti,chi,,,
Ç¬,tu,tsu,,,
Çƒ,te,,,,
Ç∆,to,,,,
ÇøÇ·,tya,cha,cya,tixya,chixya
ÇøÇ°,tyi,cyi,tixi,chixi,
ÇøÇ„,tyu,chu,cyu,tixyu,chixyu
ÇøÇ•,tye,che,cye,tixe,chixe
ÇøÇÂ,tyo,cho,cyo,tixyo,chixyo
Ç¬Çü,tsa,tuxa,tsuxa,,
Ç¬Ç°,tsi,tuxi,tsuxi,,
Ç¬Ç•,tse,tuxe,tsuxe,,
Ç¬Çß,tso,tuxo,tsuxo,,
ÇƒÇ·,tha,texya,,,
ÇƒÇ°,thi,texi,,,
ÇƒÇ„,thu,texyu,,,
ÇƒÇ•,the,texe,,,
ÇƒÇÂ,tho,texyo,,,
Ç∆Çü,twa,toxa,,,
Ç∆Ç°,twi,toxi,,,
Ç∆Ç£,twu,toxu,,,
Ç∆Ç•,twe,toxe,,,
Ç∆Çß,two,toxo,,,
Çæ,da,,,,
Ç¿,di,,,,
Ç√,du,,,,
Ç≈,de,,,,
Ç«,do,,,,
Ç¿Ç·,dya,dixya,,,
Ç¿Ç°,dyi,dixi,,,
Ç¿Ç„,dyu,dixyu,,,
Ç¿Ç•,dye,dixe,,,
Ç¿ÇÂ,dyo,dixyo,,,
Ç≈Ç·,dha,dexya,,,
Ç≈Ç°,dhi,dexi,,,
Ç≈Ç„,dhu,dexyu,,,
Ç≈Ç•,dhe,dexe,,,
Ç≈ÇÂ,dho,dexyo,,,
Ç«Çü,dwa,doxa,,,
Ç«Ç°,dwi,doxi,,,
Ç«Ç£,dwu,doxu,,,
Ç«Ç•,dwe,doxe,,,
Ç«Çß,dwo,doxo,,,
Ç¡,ltu,xtu,ltsu,,
Ç»,na,,,,
Ç…,ni,,,,
Ç ,nu,,,,
ÇÀ,ne,,,,
ÇÃ,no,,,,
Ç…Ç·,nya,nixya,,,
Ç…Ç°,nyi,nixi,,,
Ç…Ç„,nyu,nixyu,,,
Ç…Ç•,nye,nixe,,,
Ç…ÇÂ,nyo,nixyo,,,
ÇÕ,ha,,,,
Ç–,hi,,,,
Ç”,hu,fu,,,
Ç÷,he,,,,
ÇŸ,ho,,,,
Ç–Ç·,hya,hixya,,,
Ç–Ç°,hyi,hixi,,,
Ç–Ç„,hyu,hixyu,,,
Ç–Ç•,hye,hixe,,,
Ç–ÇÂ,hyo,hixyo,,,
Ç”Çü,fwa,fa,huxa,fuxa,
Ç”Ç°,fwi,fi,fyi,huxi,fuxi
Ç”Ç£,fwu,huxu,fuxu,,
Ç”Ç•,fwe,fe,fye,huxe,fuxe
Ç”Çß,fwo,fo,huxo,fuxo,
Ç”Ç·,fya,huxya,fuxya,,
Ç”Ç„,fyu,huxyu,fuxyu,,
Ç”ÇÂ,fyo,huxyo,fuxyo,,
ÇŒ,ba,,,,
Ç—,bi,,,,
Ç‘,bu,,,,
Ç◊,be,,,,
Ç⁄,bo,,,,
Ç—Ç·,bya,bixya,,,
Ç—Ç°,byi,bixi,,,
Ç—Ç„,byu,bixyu,,,
Ç—Ç•,bye,bixe,,,
Ç—ÇÂ,byo,bixyo,,,
ÉîÇü,va,vuxa,,,
ÉîÇ°,vi,vuxi,,,
Éî,vu,,,,
ÉîÇ•,ve,vuxe,,,
ÉîÇß,vo,vuxo,,,
ÉîÇ·,vya,vuxya,,,
ÉîÇ„,vyu,vuxyu,,,
ÉîÇ•,vye,,,,
ÉîÇÂ,vyo,vuxyo,,,
Çœ,pa,,,,
Ç“,pi,,,,
Ç’,pu,,,,
Çÿ,pe,,,,
Ç€,po,,,,
Ç“Ç·,pya,pixya,,,
Ç“Ç°,pyi,pixi,,,
