あ,a,,,,
い,i,yi,,,
う,u,wu,whu,,
え,e,,,,
お,o,,,,
うぁ,wha,uxa,,,
うぃ,whi,wi,uxi,,
うぇ,whe,we,uxe,,
うぉ,who,uxo,,,
ゐ,wi,,,,
ゑ,we,,,,
か,ka,ca,,,
き,ki,,,,
く,ku,cu,qu,,
け,ke,,,,
こ,ko,co,,,
きゃ,kya,kixya,,,
きぃ,kyi,kixi,,,
きゅ,kyu,kixyu,,,
きぇ,kye,kixe,,,
きょ,kyo,kixyo,,,
くゃ,qya,kuxya,,,
くゅ,qyu,kuxyu,,,
くょ,qyo,kuxyo,,,
くぁ,qwa,qa,kwa,kuxa,
くぃ,qwi,qi,qyi,kuxi,
くぅ,qwu,kuxu,,,
くぇ,qwe,qe,qye,kuxe,
くぉ,qwo,qo,kuxo,,
が,ga,,,,
ぎ,gi,,,,
ぐ,gu,,,,
げ,ge,,,,
ご,go,,,,
ぎゃ,gya,gixya,,,
ぎぃ,gyi,gixi,,,
ぎゅ,gyu,gixyu,,,
ぎぇ,gye,gixe,,,
ぎょ,gyo,gixyo,,,
ぐぁ,gwa,guxa,,,
ぐぃ,gwi,guxi,,,
ぐぅ,gwu,guxu,,,
ぐぇ,gwe,guxe,,,
ぐぉ,gwo,guxo,,,
ヵ,lka,xka,,,
ヶ,lke,xke,,,
さ,sa,,,,
し,si,ci,shi,,
す,su,,,,
せ,se,ce,,,
そ,so,,,,
しゃ,sya,sha,sixya,shixya,
しぃ,syi,sixi,shixi,,
しゅ,syu,shu,sixyu,shixyu,
しぇ,sye,she,sixe,shixe,
しょ,syo,sho,sixyo,shixyo,
すぁ,swa,suxa,,,
すぃ,swi,suxi,,,
すぅ,swu,suxu,,,
すぇ,swe,suxe,,,
すぉ,swo,suxo,,,
ざ,za,,,,
じ,ji,zi,,,
ず,zu,,,,
ぜ,ze,,,,
ぞ,zo,,,,
じゃ,ja,zya,jya,jixya,
じぃ,zyi,jyi,jixi,,
じゅ,ju,zyu,jyu,jixyu,
じぇ,je,zye,jye,jixe,
じょ,jo,zyo,jyo,jixyo,
た,ta,,,,
ち,ti,chi,,,
つ,tu,tsu,,,
て,te,,,,
と,to,,,,
ちゃ,tya,cha,cya,tixya,chixya
ちぃ,tyi,cyi,tixi,chixi,
ちゅ,tyu,chu,cyu,tixyu,chixyu
ちぇ,tye,che,cye,tixe,chixe
